,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,Neighborhood,Latitude,Longitude,YearBuilt,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,GFAPerBuilding,GFAPerFloor,GFABuildingRate
0,NonResidential,Hotel,Mayflower park hotel,Way,98101.0,Downtown,47.6122,-122.33799,1927,Hotel,60.0,7226362.5,249.98,88434.0,7369.5,1.0
1,NonResidential,Hotel,Paramount Hotel,Street,98101.0,Downtown,47.61317,-122.33393,1996,Hotel,61.0,8387933.0,295.86,103566.0,9415.091,0.85455
2,NonResidential,Hotel,5673-The Westin Seattle,Avenue,98101.0,Downtown,47.61393,-122.3381,1969,Hotel,43.0,72587024.0,2089.28,956110.0,23319.756,0.79425
3,NonResidential,Hotel,HOTEL MAX,Street,98101.0,Downtown,47.61412,-122.33664,1926,Hotel,56.0,6794584.0,286.43,61320.0,6132.0,1.0
4,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),Street,98121.0,Downtown,47.61375,-122.34047,1980,Hotel,75.0,14172606.0,505.01,175580.0,9754.444,0.64688
6,NonResidential,Hotel,Camlin,Avenue,98101.0,Downtown,47.6139,-122.33283,1926,Hotel,27.0,5758795.0,176.14,83008.0,7546.182,1.0
8,NonResidential,Hotel,311wh-Pioneer Square,Avenue,98104.0,Downtown,47.60294,-122.33263,1904,Hotel,43.0,13723820.0,392.16,163984.0,10932.267,1.0
10,NonResidential,Hotel,Hotel Monaco Seattle,Avenue,98101.0,Downtown,47.60695,-122.33414,1969,Hotel,30.0,16016644.0,691.26,153163.0,13923.909,0.87413
11,NonResidential,Hotel,5679-W Seattle,Avenue,98101.0,Downtown,47.60713,-122.33323,1998,Hotel,36.0,26941110.0,740.97,333176.0,13327.04,0.81643
12,NonResidential,Hotel,Executive Pacific Plaza,Street,98104.0,Downtown,47.60699,-122.33346,1928,Hotel,48.0,6596057.5,328.23,65009.0,7223.222,1.0
13,NonResidential,Hotel,Crowne Plaza Hotel Seattle,Avenue,98101.0,Downtown,47.60809,-122.33212,1980,Hotel,58.0,22325364.0,648.62,315952.0,9574.303,0.81769
14,NonResidential,Hotel,Hotel Vintage Seattle,Avenue,98101.0,Downtown,47.60755,-122.33244,1922,Hotel,35.0,10750010.0,511.39,92190.0,8380.909,0.72665
17,NonResidential,Hotel,Renaissance Seattle Hotel,Street,98104.0,Downtown,47.60681,-122.33078,1983,Hotel,31.0,33556756.0,802.89,416281.0,14867.179,0.79581
19,NonResidential,Hotel,Arctic Club Seattle,Avenue,98104.0,Downtown,47.60376,-122.33194,1916,Hotel,39.0,10154608.0,349.32,104352.0,10435.2,1.0
20,NonResidential,Other,King County Courthouse,Avenue,98104.0,Downtown,47.60265,-122.33051,1916,Courthouse,76.0,44984468.0,1265.29,540360.0,54036.0,1.0
23,NonResidential,Hotel,WATERTOWN HOTEL,Way,98105.0,Northeast,47.65959,-122.31755,2001,Hotel,84.0,3663534.5,90.01,88592.0,14765.333,0.65475
27,NonResidential,Hotel,Marriott Springhill Suites (33),Avenue,98101.0,Downtown,47.61784,-122.32966,2001,Hotel,57.0,11061916.0,328.63,171866.0,17186.6,0.77726
29,NonResidential,Hotel,Hotel Five,Avenue,98121.0,Downtown,47.61558,-122.34186,1978,Hotel,57.0,4456714.5,128.44,68410.0,13682.0,0.76319
33,NonResidential,Hotel,Silver Cloud University,Avenue,98105.0,Northeast,47.66583,-122.29965,1994,Hotel,29.0,6668568.5,215.0,81871.0,20467.75,1.0
35,Campus,Mixed Use Property,Plant 2 Site,Way,98108.0,Greater Duwamish,47.53493,-122.31788,1992,Office,8.0,448385312.0,16870.98,494835.0,164945.0,1.0
37,SPS-District K-12,K-12 School,Lawton Elementary,Avenue,98199.0,Magnolia / Queen Anne,47.65671,-122.39047,1990,K-12 School,97.0,1650279.25,31.47,54986.0,27493.0,1.0
39,NonResidential,Small- and Mid-Sized Office,SBC52,Avenue,98107.0,Ballard,47.66587,-122.38476,1961,Office,57.0,6186461.5,130.56,94900.0,47450.0,1.0
40,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,Avenue,98144.0,Greater Duwamish,47.58034,-122.31132,1900,Office,83.0,2951331.25,83.86,52554.0,26277.0,1.0
41,NonResidential,K-12 School,Blanchet High School,Avenue,98103.0,Northwest,47.68891,-122.33553,1954,K-12 School,95.0,6994740.5,247.85,175015.0,58338.333,1.0
43,NonResidential,Hotel,Seattle Hilton Hotel,Avenue,98101.0,Downtown,47.60946,-122.33337,1969,Hotel,67.0,16163194.0,295.33,332210.0,13842.083,0.38
44,NonResidential,Large Office,5th and Pine,Street,98101.0,Downtown,47.6113,-122.33659,1973,Office,78.0,9536161.0,66.48,168115.0,33623.0,1.0
46,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,Avenue,98101.0,Downtown,47.61048,-122.33794,1910,Office,14.0,5071974.0,35.36,59400.0,7425.0,1.0
48,NonResidential,Hotel,Roosevelt Hotel,Avenue,98101.0,Downtown,47.61233,-122.33432,1930,Hotel,71.0,4841347.5,59.19,98634.0,4931.7,0.89818
49,NonResidential,Hotel,Sheraton Seattle Hotel,Avenue,98101.0,Downtown,47.61087,-122.33339,1982,Hotel,63.0,80469216.0,2451.58,994212.0,29241.529,0.85245
50,NonResidential,Hotel,Inn at the Market,Street,98101.0,Downtown,47.60997,-122.34138,1985,Hotel,98.0,5348309.0,134.38,71150.0,10164.286,1.0
51,NonResidential,Hotel,Moore Hotel INC,Avenue,98101.0,Downtown,47.61155,-122.34114,1908,Hotel,99.0,5401277.5,227.18,122810.0,17544.286,1.0
52,NonResidential,Hotel,QUALITY INN,Street,98109.0,Lake Union,47.61986,-122.34413,1959,Hotel,86.0,5284343.5,144.79,113173.0,22634.6,0.62406
53,NonResidential,Hotel,Rainier Hospitality,Avenue,98109.0,Lake Union,47.62001,-122.34274,2000,Hotel,84.0,6715187.0,199.95,150453.0,21493.286,0.76913
54,NonResidential,Hotel,Sequim Lodging Corp,Avenue,98109.0,Lake Union,47.62025,-122.34314,1997,Hotel,80.0,5827595.5,162.39,116300.0,19383.333,0.75752
55,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,Avenue,98119.0,Magnolia / Queen Anne,47.62023,-122.35951,1998,Hotel,81.0,6836900.0,152.76,155602.0,25933.667,0.76386
56,NonResidential,K-12 School,Seattle Hebrew Academy,Street,98136.0,East,47.63442,-122.30793,1911,K-12 School,76.0,3234787.75,146.34,56072.0,18690.667,1.0
57,NonResidential,Hotel,Comfort Suites Seattle Center,Street,98109.0,Magnolia / Queen Anne,47.62519,-122.34456,1999,Hotel,94.0,5337334.0,171.64,122942.0,30735.5,0.63486
58,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,Street,98122.0,Central,47.60823,-122.30956,1962,Office,71.0,3375211.0,87.98,54984.0,27492.0,1.0
59,NonResidential,Senior Care Community,PSSA - The Mount,Avenue,98126.0,Southwest,47.55837,-122.37751,1922,Senior Care Community,54.0,42792072.0,1727.11,217603.0,43520.6,1.0
60,NonResidential,Senior Care Community,Foss Home and Village,Avenue,98133.0,Northwest,47.72426,-122.35599,1970,Senior Care Community,1.0,16402563.0,609.1,93397.0,46698.5,1.0
61,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,Avenue,98109.0,Lake Union,47.61988,-122.33211,2008,Hotel,74.0,3706100.25,67.06,84103.0,14017.167,0.75349
63,NonResidential,Medical Office,Polyclinic North && South,Avenue,98122.0,East,47.61244,-122.3214,1965,Medical Office,48.0,16701055.0,430.84,179014.0,59671.333,1.0
64,NonResidential,Hotel,Sorrento Hotel,Street,98104.0,East,47.60898,-122.32693,1908,Hotel,71.0,7258758.5,262.75,76631.0,10947.286,1.0
66,NonResidential,Retail Store,Firestone Store#012432,Avenue,98109.0,Lake Union,47.62237,-122.33805,1929,Retail Store,96.0,1049748.625,39.06,58320.0,29160.0,1.0
67,NonResidential,Large Office,City Place III - SEDO,Avenue,98109.0,Lake Union,47.62424,-122.33646,2010,Office,96.0,13795954.0,138.85,316306.0,63261.2,1.0
68,NonResidential,Hotel,Residence Inn Seattle - Lake Union,Avenue,98109.0,Lake Union,47.62642,-122.33325,1990,Hotel,37.0,19459304.0,526.85,282863.0,40409.0,0.84174
